model,domain,raw_top10,raw_PR_norm,centered_top10,centered_PR_norm,l2norm_top10,l2norm_PR_norm,raw_minus_centered_top10
legal_bert,USPTO_Backgrounds,0.96028733253479,0.001515510375611484,0.4781052768230438,0.035966403782367706,0.9603651165962219,0.0015150081599131227,0.4821820557117462
legal_bert,Wikipedia_en,0.9324310421943665,0.00164816714823246,0.4132777452468872,0.050593238323926926,0.9333134889602661,0.001642707735300064,0.5191532969474792
minilm,ArXiv,0.37788471579551697,0.08459002524614334,0.29591357707977295,0.17954932153224945,0.37788471579551697,0.08459002524614334,0.08197113871574402
minilm,FreeLaw,0.5686349272727966,0.01368663739413023,0.2603798508644104,0.21759706735610962,0.5686348080635071,0.013686642982065678,0.30825507640838623
minilm,Github,0.36138004064559937,0.09678518772125244,0.2867085933685303,0.18768589198589325,0.36138004064559937,0.09678518772125244,0.07467144727706909
minilm,Pile-CC,0.21861432492733002,0.25188347697257996,0.1810750514268875,0.348617821931839,0.21861431002616882,0.25188347697257996,0.037539273500442505
minilm,PubMed_Central,0.339509516954422,0.11339765042066574,0.27208560705184937,0.21662254631519318,0.339509516954422,0.11339762806892395,0.06742390990257263
minilm,StackExchange,0.21052949130535126,0.3005208671092987,0.19670440256595612,0.3273860514163971,0.21052952110767365,0.30052080750465393,0.013825088739395142
minilm,USPTO_Backgrounds,0.3470681309700012,0.08277634531259537,0.2491571009159088,0.23898792266845703,0.3470681309700012,0.08277633041143417,0.09791103005409241
minilm,Wikipedia_en,0.22508472204208374,0.262856125831604,0.2078791707754135,0.29483118653297424,0.22508469223976135,0.2628561556339264,0.017205551266670227
pubmedbert,ArXiv,0.9945535659790039,0.0013326021144166589,0.5438454151153564,0.02092530019581318,0.9945685267448425,0.0013324854662641883,0.45070815086364746
pubmedbert,FreeLaw,0.9956284761428833,0.001333523541688919,0.6445481181144714,0.012167402543127537,0.9956653118133545,0.0013330111978575587,0.35108035802841187
pubmedbert,Github,0.9846810102462769,0.001384081318974495,0.5156862139701843,0.033265095204114914,0.9849714040756226,0.0013827382354065776,0.46899479627609253
pubmedbert,Pile-CC,0.9915716648101807,0.0013452578568831086,0.499754399061203,0.03205448389053345,0.9916105270385742,0.001345070544630289,0.49181726574897766
pubmedbert,PubMed_Central,0.9917213916778564,0.00133998179808259,0.4378884732723236,0.03862842544913292,0.9917665123939514,0.0013397937873378396,0.5538329184055328
pubmedbert,StackExchange,0.9916760921478271,0.0013499632477760315,0.5530016422271729,0.02280011586844921,0.9916837811470032,0.0013497569598257542,0.4386744499206543
pubmedbert,USPTO_Backgrounds,0.9925313591957092,0.0013364054029807448,0.4424085021018982,0.0468197762966156,0.9925443530082703,0.0013363366015255451,0.550122857093811
pubmedbert,Wikipedia_en,0.9895369410514832,0.0013541328953579068,0.4814799129962921,0.03861420601606369,0.9895931482315063,0.001353817991912365,0.508057028055191
