n,d,mode,spectrum_entropy,participation_ratio,normalized_PR,top1_ratio,top5_ratio,top10_ratio,top20_ratio,top50_ratio,model,domain
5000,768,l2norm,0.888372540473938,1.2847528457641602,0.0016728552291169763,0.8820117115974426,0.914591908454895,0.9336728453636169,0.9514512419700623,0.9719444513320923,biobert,Wikipedia_en
5000,768,raw,0.9008399248123169,1.2904331684112549,0.0016802515601739287,0.8800579309463501,0.9132804870605469,0.9325487017631531,0.9506366848945618,0.9714477062225342,biobert,Wikipedia_en
5000,768,centered,4.444585800170898,33.04681396484375,0.04302970692515373,0.1018267422914505,0.31853437423706055,0.46466517448425293,0.600557267665863,0.7669143676757812,biobert,Wikipedia_en
2657,768,l2norm,0.5505697131156921,1.1636481285095215,0.0015151668339967728,0.9267796874046326,0.9585815668106079,0.9673255681991577,0.9754716157913208,0.9853939414024353,biobert,ArXiv
2657,768,raw,0.5578621625900269,1.1668589115142822,0.0015193475410342216,0.9254920482635498,0.9580104351043701,0.9670537114143372,0.9753034114837646,0.985305905342102,biobert,ArXiv
2657,768,centered,3.919715642929077,11.839275360107422,0.01541572343558073,0.2610112428665161,0.4753871262073517,0.5740512013435364,0.6781458258628845,0.8068483471870422,biobert,ArXiv
5000,768,l2norm,1.1028653383255005,1.413038969039917,0.0018398944521322846,0.8405932188034058,0.8929120302200317,0.9225142598152161,0.9475663304328918,0.9696534872055054,biobert,Github
5000,768,raw,1.1795611381530762,1.462952971458435,0.001904886681586504,0.8259392380714417,0.8837977051734924,0.9172075986862183,0.9443445205688477,0.9682012796401978,biobert,Github
5000,768,centered,4.105945110321045,21.65196418762207,0.028192661702632904,0.15360480546951294,0.3864786922931671,0.5523643493652344,0.6919543743133545,0.8218445181846619,biobert,Github
5000,768,l2norm,0.6532309055328369,1.1860857009887695,0.0015443824231624603,0.918067455291748,0.9427372813224792,0.9526336789131165,0.963031530380249,0.9773240089416504,biobert,PubMed_Central
5000,768,raw,0.6711843609809875,1.193830966949463,0.0015544673660770059,0.9150678515434265,0.9412466287612915,0.9515088796615601,0.9624432325363159,0.9770258665084839,biobert,PubMed_Central
5000,768,centered,4.454172134399414,23.64877700805664,0.030792677775025368,0.1695476621389389,0.34566205739974976,0.451681911945343,0.5723361968994141,0.7363899350166321,biobert,PubMed_Central
5000,768,l2norm,0.5277396440505981,1.165849208831787,0.00151803286280483,0.9258274435997009,0.9666639566421509,0.9747171998023987,0.9806385040283203,0.9883095622062683,biobert,FreeLaw
5000,768,raw,0.547326922416687,1.1753404140472412,0.001530391164124012,0.9220341444015503,0.9654234051704407,0.9740515947341919,0.98023521900177,0.9881536364555359,biobert,FreeLaw
5000,768,centered,3.4482574462890625,8.385793685913086,0.010919001884758472,0.28860920667648315,0.5981162786483765,0.686371386051178,0.7587393522262573,0.8543468713760376,biobert,FreeLaw
5000,768,l2norm,0.7796702980995178,1.2583720684051514,0.0016385052585974336,0.8909474015235901,0.938255786895752,0.9513648748397827,0.9629744291305542,0.9776701927185059,biobert,StackExchange
5000,768,raw,0.8220894932746887,1.2865464687347412,0.0016751907533034682,0.8809496164321899,0.9375596046447754,0.9509093165397644,0.9630665183067322,0.9776982069015503,biobert,StackExchange
5000,768,centered,3.748676061630249,10.51303768157959,0.013688851147890091,0.26457419991493225,0.5225547552108765,0.6183350682258606,0.7095831036567688,0.8231210112571716,biobert,StackExchange
5000,768,l2norm,0.5688310265541077,1.1522338390350342,0.0015003044391050935,0.9315387606620789,0.9489845633506775,0.9582790732383728,0.9679371118545532,0.9803531169891357,biobert,USPTO_Backgrounds
5000,768,raw,0.5711169838905334,1.1530195474624634,0.0015013274969533086,0.9312207698822021,0.9487172365188599,0.9581027626991272,0.9678025245666504,0.9802755117416382,biobert,USPTO_Backgrounds
5000,768,centered,4.651767730712891,40.20230484008789,0.05234675109386444,0.08236544579267502,0.2981438636779785,0.4133576452732086,0.5437972545623779,0.7189115881919861,biobert,USPTO_Backgrounds
5000,768,l2norm,0.15284688770771027,1.033014178276062,0.001345070544630289,0.9838854670524597,0.9893454313278198,0.9916105270385742,0.9937214851379395,0.9960799813270569,pubmedbert,Pile-CC
5000,768,raw,0.15344062447547913,1.0331580638885498,0.0013452578568831086,0.9838168621063232,0.9893014430999756,0.9915716648101807,0.9936897158622742,0.9960597157478333,pubmedbert,Pile-CC
5000,768,centered,4.363214492797852,24.617843627929688,0.03205448389053345,0.1358305662870407,0.3729383647441864,0.499754399061203,0.618940532207489,0.759978711605072,pubmedbert,Pile-CC
5000,768,l2norm,0.1806679368019104,1.0397322177886963,0.001353817991912365,0.980700671672821,0.9866839051246643,0.9895931482315063,0.9922394752502441,0.9952538013458252,pubmedbert,Wikipedia_en
5000,768,raw,0.1815996617078781,1.0399740934371948,0.0013541328953579068,0.9805864691734314,0.9866194725036621,0.9895369410514832,0.9921926259994507,0.9952247142791748,pubmedbert,Wikipedia_en
5000,768,centered,4.421643257141113,29.655710220336914,0.03861420601606369,0.10203998535871506,0.3541404902935028,0.4814799129962921,0.6067602038383484,0.7574628591537476,pubmedbert,Wikipedia_en
2657,768,l2norm,0.10967528074979782,1.0233488082885742,0.0013324854662641883,0.9885219931602478,0.9931107759475708,0.9945685267448425,0.9959373474121094,0.9976178407669067,pubmedbert,ArXiv
2657,768,raw,0.11002843827009201,1.0234384536743164,0.0013326021144166589,0.9884786605834961,0.9930828213691711,0.9945535659790039,0.9959278702735901,0.9976142048835754,pubmedbert,ArXiv
2657,768,centered,4.0917510986328125,16.07063102722168,0.02092530019581318,0.20956148207187653,0.4336647391319275,0.5438454151153564,0.6551611423492432,0.7959144115447998,pubmedbert,ArXiv
5000,768,l2norm,0.2601703107357025,1.0619429349899292,0.0013827382354065776,0.9703794717788696,0.979812502861023,0.9849714040756226,0.9892761707305908,0.9935368299484253,pubmedbert,Github
5000,768,raw,0.263917475938797,1.062974452972412,0.001384081318974495,0.9699079990386963,0.9794365763664246,0.9846810102462769,0.9890604615211487,0.9934347867965698,pubmedbert,Github
5000,768,centered,4.272486209869385,25.547592163085938,0.033265095204114914,0.132096067070961,0.367226243019104,0.5156862139701843,0.6469892859458923,0.7860055565834045,pubmedbert,Github
5000,768,l2norm,0.1386192888021469,1.0289616584777832,0.0013397937873378396,0.9858229756355286,0.9900707006454468,0.9917665123939514,0.9937450289726257,0.9962382912635803,pubmedbert,PubMed_Central
5000,768,raw,0.13921470940113068,1.0291060209274292,0.00133998179808259,0.9857537746429443,0.9900200366973877,0.9917213916778564,0.9937150478363037,0.9962282776832581,pubmedbert,PubMed_Central
5000,768,centered,4.523290634155273,29.666629791259766,0.03862842544913292,0.12483189254999161,0.3298446536064148,0.4378884732723236,0.5698739886283875,0.7393860816955566,pubmedbert,PubMed_Central
5000,768,l2norm,0.10615822672843933,1.0237525701522827,0.0013330111978575587,0.9883240461349487,0.9944244027137756,0.9956653118133545,0.9967008829116821,0.9979843497276306,pubmedbert,FreeLaw
5000,768,raw,0.10748517513275146,1.0241460800170898,0.001333523541688919,0.9881337285041809,0.9943733811378479,0.9956284761428833,0.9966779351234436,0.9979729652404785,pubmedbert,FreeLaw
5000,768,centered,3.6213817596435547,9.344565391540527,0.012167402543127537,0.2682366967201233,0.5581076145172119,0.6445481181144714,0.727135181427002,0.832055389881134,pubmedbert,FreeLaw
5000,768,l2norm,0.1628878116607666,1.0366133451461792,0.0013497569598257542,0.9821720719337463,0.9895074367523193,0.9916837811470032,0.9936308860778809,0.9960836172103882,pubmedbert,StackExchange
5000,768,raw,0.1634061336517334,1.0367717742919922,0.0013499632477760315,0.9820969104766846,0.9894934892654419,0.9916760921478271,0.9936248660087585,0.9960799813270569,pubmedbert,StackExchange
5000,768,centered,4.105484485626221,17.510488510131836,0.02280011586844921,0.1630529761314392,0.4458908438682556,0.5530016422271729,0.6534284949302673,0.7849977612495422,pubmedbert,StackExchange
5000,768,l2norm,0.12792573869228363,1.0263065099716187,0.0013363366015255451,0.9870984554290771,0.9906679391860962,0.9925443530082703,0.994362473487854,0.9965468049049377,pubmedbert,USPTO_Backgrounds
5000,768,raw,0.1281460076570511,1.0263593196868896,0.0013364054029807448,0.9870730042457581,0.9906532168388367,0.9925313591957092,0.9943528771400452,0.9965408444404602,pubmedbert,USPTO_Backgrounds
5000,768,centered,4.570163249969482,35.95758819580078,0.0468197762966156,0.08398181200027466,0.3179958462715149,0.4424085021018982,0.5736474990844727,0.7361128330230713,pubmedbert,USPTO_Backgrounds
5000,768,l2norm,1.5859909057617188,1.6244854927062988,0.0021152154076844454,0.7840486764907837,0.8268685936927795,0.8553824424743652,0.8863369226455688,0.926785945892334,bert_base,Pile-CC
5000,768,raw,1.61664879322052,1.6447057723999023,0.002141543896868825,0.7791845202445984,0.8229292631149292,0.8520262241363525,0.8836368322372437,0.9249554872512817,bert_base,Pile-CC
5000,768,centered,4.927953720092773,55.207862854003906,0.07188523560762405,0.07118335366249084,0.22805510461330414,0.35135170817375183,0.4839010238647461,0.6650934219360352,bert_base,Pile-CC
5000,768,l2norm,2.143394708633423,2.0581161975860596,0.0026798387989401817,0.6959791779518127,0.7505069375038147,0.7834156155586243,0.8242889642715454,0.8882525563240051,bert_base,Wikipedia_en
5000,768,raw,2.1986279487609863,2.120136022567749,0.00276059377938509,0.68555748462677,0.7437182664871216,0.7769901752471924,0.8194701075553894,0.8854646682739258,bert_base,Wikipedia_en
